,time,topic,truth_value
0,1741472406.7242875,Fungi/Plants,lie
0,1741472419.1637895,Planets and the universe,fact
0,1741472433.4246435,Clothes,fact
0,1741472448.750015,Research,lie
0,1741472460.4197595,Your job,lie
0,1741472473.197399,Dinosaurs,fact
0,1741472486.5513408,Planets and the universe,fact
0,1741472497.7016315,Colors,fact
0,1741472510.437734,Math,fact
0,1741472520.7831995,Planets and the universe,lie
0,1741472534.5760858,Math,lie
0,1741472546.3213184,Colors,fact
0,1741472557.0262184,Colors,fact
0,1741472571.6873856,Things you learn in class,fact
0,1741472587.6947665,Cognitive Science,fact
