,time,topic,truth_value
0,1741469420.2225747,Music,lie
0,1741469430.4171584,Travel,fact
0,1741469441.0425262,Travel,lie
0,1741469451.161201,Food,lie
0,1741469464.647588,Work,lie
0,1741469481.4348583,Pets,fact
0,1741469492.2645884,Work,fact
0,1741469505.4095972,Travel,fact
0,1741469518.7794452,Work,lie
0,1741469534.47913,Family,fact
0,1741469545.8407235,Pets,lie
0,1741469560.5382519,Movies,fact
0,1741469573.627024,Pets,fact
0,1741469584.417053,Travel,lie
0,1741469596.595298,Future Goals/Dreams,fact
0,1741469610.0329673,Family,fact
