,time,topic,truth_value
0,1741470742.582669,Cognitive Science,lie
0,1741470758.8043592,Math,lie
0,1741470772.1610873,Research,lie
0,1741470783.8493571,Math,fact
0,1741470797.2906318,Cognitive Science,fact
0,1741470808.7783282,Things you learn in class,fact
0,1741470824.31565,Your job,fact
0,1741470835.3833575,Animals,lie
0,1741470846.391829,Clothes,lie
0,1741470870.0902705,Planets and the universe,lie
0,1741470883.8271627,Animals,fact
0,1741470899.481944,Research,lie
0,1741470916.970783,Cognitive Science,lie
0,1741470937.8518069,Your job,fact
0,1741470954.5924187,Research,fact
