,key_0,FP1,FP2,T3,T4,T5,P3,P4,T6,Light_sensor,rel_time,Change,truth_value
0,2773,7.948716157977373,13.50086491362595,-0.022371262737228115,5.313062060711904,0.9088899659010741,-0.3720768614368364,0.38162265418479174,-1.0238986314685095,0,11.092,0,0
1,2774,7.413156286507018,15.084003888922014,0.5377496223267401,6.4527317784189,1.5548971997658796,1.2336541904849454,3.143517912190088,2.4876849881239944,0,11.096,0,0
2,2775,6.61403471505936,15.44366273895348,0.03748069496117391,6.16757900708257,1.4073009559446492,2.021980731129382,4.435600166562989,4.132617173867394,0,11.1,0,0
3,2776,5.828845336242055,14.496466034245797,-1.416202957572797,4.391701881408075,0.663157775037055,1.952198114379703,4.107138356988209,3.402168230898688,0,11.104,0,0
4,2777,5.425502590082426,12.671127256925699,-3.3318130288436625,1.6578454744318327,-0.28721013333065903,1.290184700869041,2.554473586477058,0.7537643964776043,0,11.108,0,0
5,2778,5.637618179699799,10.739328995562522,-5.023969467295388,-1.0487106032324265,-0.9583019469308006,0.5043975229784436,0.5886958241782614,-2.534420207768307,0,11.112,0,0
6,2779,6.421307508389141,9.482150761373795,-5.885362394131519,-2.7032214483736876,-0.9017645828620946,0.0653149695323534,-0.8997318029499713,-4.921353471277135,0,11.116,0,0
7,2780,7.511682636532844,9.359091312011481,-5.619230539577554,-2.6896224970656193,0.13577570027090552,0.2240964845930201,-1.340899753241295,-5.276928070610838,0,11.12,0,0
8,2781,8.590515513522071,10.325296675504163,-4.3630526868208195,-1.0845700579516813,2.043933797018444,0.8534252662724447,-0.7524369542929145,-3.3716677386403773,0,11.124,0,0
9,2782,9.414594065182778,11.874406227385874,-2.6538792616140103,1.3372868789093488,4.252748859667688,1.4353950271628495,0.26479309324594896,0.009882310446707655,0,11.128,0,0
10,2783,9.867446123149639,13.296198462365565,-1.2058856104210827,3.423101769738946,5.841495140821191,1.2516862654733978,0.8115506305145115,3.4022638478758256,0,11.132,0,0
11,2784,9.96757818058604,14.03267177354894,-0.5827305461041571,4.1733777562820045,5.891901052726058,-0.2687462520448793,0.13312381522978575,5.3188092680223376,0,11.136,0,0
12,2785,9.826381316229474,13.944736537002644,-0.9628357098941442,3.190737193230821,3.93294117594987,-3.2133832871156995,-1.9904260934773792,4.906883482067148,0,11.14,0,0
13,2786,9.553099702114643,13.342307866067399,-2.1369535955034014,0.7961432327155791,0.2140740393677704,-7.064358535801438,-5.112673391855802,2.259131516991623,0,11.144,0,0
14,2787,9.188808372386957,12.776921298138275,-3.6830216549974266,-2.1734150865864774,-4.368062764999401,-10.886123674652513,-8.327042335878032,-1.710466124271266,0,11.148,0,0
15,2788,8.74983727273057,12.73567149428012,-5.162833498952565,-4.70063790012207,-8.652419740973277,-13.738973669678602,-10.701119703012914,-5.674237020856278,0,11.152,0,0
