,time,topic,truth_value
0,1741472798.6957445,Fungi/Plants,fact
0,1741472819.595812,Clothes,lie
0,1741472831.023497,Research,fact
0,1741472843.4200332,Animals,lie
0,1741472857.4039102,Things you learn in class,lie
0,1741472871.7749486,Animals,fact
0,1741472885.4576888,Your job,fact
0,1741472898.025376,Your job,lie
0,1741472912.6360607,Your job,lie
0,1741472923.0515945,Planets and the universe,lie
0,1741472934.7970257,Dinosaurs,fact
0,1741472948.8625977,Colors,fact
0,1741472958.8770266,Planets and the universe,lie
0,1741472973.2527878,Things you learn in class,lie
0,1741472989.529014,Fungi/Plants,fact
